run_id,stage,params_json,trades,win_rate,non_loss_rate,profit_factor,net_profit,max_drawdown,sharpe_ratio,annual_return,composite_score,elapsed_sec
s4_e31e249f,4,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 2.0, ""consensus_entry_weight"": 1.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 0.5, ""consensus_other_weight"": 1.0, ""trailing_start_r"": 1.0, ""trailing_atr_mult"": 2.0, ""stag_exit_minutes"": 60.0, ""partial_1r_ratio"": 0.0, ""early_be_r"": 0.5, ""signal_rev_ratio"": 0.75, ""tp_sl_ratio"": 1.2, ""sl_min_pips"": 8.0, ""range_day_bbw_threshold"": 0.25, ""range_day_score_premium"": 0.3, ""weak_hours_score_premium"": 0.5, ""sg_spread_penalty_rate"": 0.2, ""sg_off_hours_penalty"": 0.25, ""sg_volatility_penalty"": 0.05, ""sg_recent_loss_penalty"": 0.1}",221,64.31,75.7,9.79,421423.0,0.65,4.12,14.05,9.7264,48.6
s4_2d60b9a4,4,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 2.0, ""consensus_entry_weight"": 1.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 0.5, ""consensus_other_weight"": 1.0, ""trailing_start_r"": 1.0, ""trailing_atr_mult"": 2.0, ""stag_exit_minutes"": 60.0, ""partial_1r_ratio"": 0.0, ""early_be_r"": 0.5, ""signal_rev_ratio"": 0.75, ""tp_sl_ratio"": 1.0, ""sl_min_pips"": 8.0, ""range_day_bbw_threshold"": 0.2, ""range_day_score_premium"": 0.55, ""weak_hours_score_premium"": 0.3, ""sg_spread_penalty_rate"": 0.1, ""sg_off_hours_penalty"": 0.25, ""sg_volatility_penalty"": 0.2, ""sg_recent_loss_penalty"": 0.3}",198,60.82,74.1,9.39,447623.0,0.65,4.02,14.92,9.329,46.0
s4_b3f88d98,4,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 2.0, ""consensus_entry_weight"": 1.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 0.5, ""consensus_other_weight"": 1.0, ""trailing_start_r"": 1.0, ""trailing_atr_mult"": 2.0, ""stag_exit_minutes"": 60.0, ""partial_1r_ratio"": 0.0, ""early_be_r"": 0.5, ""signal_rev_ratio"": 0.75, ""tp_sl_ratio"": 1.4, ""sl_min_pips"": 15.0, ""range_day_bbw_threshold"": 0.15, ""range_day_score_premium"": 0.3, ""weak_hours_score_premium"": 0.3, ""sg_spread_penalty_rate"": 0.2, ""sg_off_hours_penalty"": 0.1, ""sg_volatility_penalty"": 0.05, ""sg_recent_loss_penalty"": 0.3}",228,64.99,75.4,9.68,427575.0,0.65,4.17,14.25,9.6171,43.1
s4_af285d55,4,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 2.0, ""consensus_entry_weight"": 1.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 0.5, ""consensus_other_weight"": 1.0, ""trailing_start_r"": 1.0, ""trailing_atr_mult"": 2.0, ""stag_exit_minutes"": 60.0, ""partial_1r_ratio"": 0.0, ""early_be_r"": 0.5, ""signal_rev_ratio"": 0.75, ""tp_sl_ratio"": 1.2, ""sl_min_pips"": 12.0, ""range_day_bbw_threshold"": 0.15, ""range_day_score_premium"": 0.55, ""weak_hours_score_premium"": 0.3, ""sg_spread_penalty_rate"": 0.2, ""sg_off_hours_penalty"": 0.1, ""sg_volatility_penalty"": 0.1, ""sg_recent_loss_penalty"": 0.3}",198,60.82,74.1,9.39,447623.0,0.65,4.02,14.92,9.329,43.3
s4_b6c1e01a,4,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 2.0, ""consensus_entry_weight"": 1.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 0.5, ""consensus_other_weight"": 1.0, ""trailing_start_r"": 1.0, ""trailing_atr_mult"": 2.0, ""stag_exit_minutes"": 60.0, ""partial_1r_ratio"": 0.0, ""early_be_r"": 0.5, ""signal_rev_ratio"": 0.75, ""tp_sl_ratio"": 1.2, ""sl_min_pips"": 8.0, ""range_day_bbw_threshold"": 0.2, ""range_day_score_premium"": 0.8, ""weak_hours_score_premium"": 0.7, ""sg_spread_penalty_rate"": 0.05, ""sg_off_hours_penalty"": 0.15, ""sg_volatility_penalty"": 0.2, ""sg_recent_loss_penalty"": 0.2}",198,60.82,74.1,9.39,447623.0,0.65,4.02,14.92,9.329,46.3
s4_cb601e31,4,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 2.0, ""consensus_entry_weight"": 1.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 0.5, ""consensus_other_weight"": 1.0, ""trailing_start_r"": 1.0, ""trailing_atr_mult"": 2.0, ""stag_exit_minutes"": 60.0, ""partial_1r_ratio"": 0.0, ""early_be_r"": 0.5, ""signal_rev_ratio"": 0.75, ""tp_sl_ratio"": 1.4, ""sl_min_pips"": 8.0, ""range_day_bbw_threshold"": 0.25, ""range_day_score_premium"": 0.3, ""weak_hours_score_premium"": 0.5, ""sg_spread_penalty_rate"": 0.1, ""sg_off_hours_penalty"": 0.1, ""sg_volatility_penalty"": 0.2, ""sg_recent_loss_penalty"": 0.3}",221,64.31,75.7,9.79,421423.0,0.65,4.12,14.05,9.7264,46.6
s4_35f43784,4,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 2.0, ""consensus_entry_weight"": 1.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 0.5, ""consensus_other_weight"": 1.0, ""trailing_start_r"": 1.0, ""trailing_atr_mult"": 2.0, ""stag_exit_minutes"": 60.0, ""partial_1r_ratio"": 0.0, ""early_be_r"": 0.5, ""signal_rev_ratio"": 0.75, ""tp_sl_ratio"": 1.4, ""sl_min_pips"": 8.0, ""range_day_bbw_threshold"": 0.15, ""range_day_score_premium"": 0.8, ""weak_hours_score_premium"": 0.7, ""sg_spread_penalty_rate"": 0.2, ""sg_off_hours_penalty"": 0.1, ""sg_volatility_penalty"": 0.2, ""sg_recent_loss_penalty"": 0.2}",198,60.82,74.1,9.39,447623.0,0.65,4.02,14.92,9.329,44.7
s4_215c7218,4,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 2.0, ""consensus_entry_weight"": 1.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 0.5, ""consensus_other_weight"": 1.0, ""trailing_start_r"": 1.0, ""trailing_atr_mult"": 2.0, ""stag_exit_minutes"": 60.0, ""partial_1r_ratio"": 0.0, ""early_be_r"": 0.5, ""signal_rev_ratio"": 0.75, ""tp_sl_ratio"": 1.4, ""sl_min_pips"": 8.0, ""range_day_bbw_threshold"": 0.2, ""range_day_score_premium"": 0.8, ""weak_hours_score_premium"": 0.5, ""sg_spread_penalty_rate"": 0.05, ""sg_off_hours_penalty"": 0.1, ""sg_volatility_penalty"": 0.2, ""sg_recent_loss_penalty"": 0.1}",198,60.82,74.1,9.39,447623.0,0.65,4.02,14.92,9.329,42.7
s4_0bfc493e,4,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 2.0, ""consensus_entry_weight"": 1.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 0.5, ""consensus_other_weight"": 1.0, ""trailing_start_r"": 1.0, ""trailing_atr_mult"": 2.0, ""stag_exit_minutes"": 60.0, ""partial_1r_ratio"": 0.0, ""early_be_r"": 0.5, ""signal_rev_ratio"": 0.75, ""tp_sl_ratio"": 1.0, ""sl_min_pips"": 12.0, ""range_day_bbw_threshold"": 0.25, ""range_day_score_premium"": 0.8, ""weak_hours_score_premium"": 0.3, ""sg_spread_penalty_rate"": 0.1, ""sg_off_hours_penalty"": 0.15, ""sg_volatility_penalty"": 0.2, ""sg_recent_loss_penalty"": 0.1}",198,60.82,74.1,9.39,447623.0,0.65,4.02,14.92,9.329,44.9
s4_e4e64a96,4,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 2.0, ""consensus_entry_weight"": 1.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 0.5, ""consensus_other_weight"": 1.0, ""trailing_start_r"": 1.0, ""trailing_atr_mult"": 2.0, ""stag_exit_minutes"": 60.0, ""partial_1r_ratio"": 0.0, ""early_be_r"": 0.5, ""signal_rev_ratio"": 0.75, ""tp_sl_ratio"": 1.0, ""sl_min_pips"": 10.0, ""range_day_bbw_threshold"": 0.2, ""range_day_score_premium"": 0.55, ""weak_hours_score_premium"": 0.7, ""sg_spread_penalty_rate"": 0.05, ""sg_off_hours_penalty"": 0.25, ""sg_volatility_penalty"": 0.1, ""sg_recent_loss_penalty"": 0.1}",198,60.82,74.1,9.39,447623.0,0.65,4.02,14.92,9.329,47.1
