run_id,stage,params_json,trades,win_rate,non_loss_rate,profit_factor,net_profit,max_drawdown,sharpe_ratio,annual_return,composite_score,elapsed_sec
s2_1e3ce3c1,2,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 2.0, ""consensus_entry_weight"": 1.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 0.5, ""consensus_other_weight"": 1.0}",255,72.4,85.79,7.9,441159.0,0.93,3.95,14.71,7.8265,51.5
s2_61472798,2,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 3.0, ""consensus_entry_weight"": 1.5, ""consensus_confirm_weight"": 1.0, ""consensus_manage_weight"": 2.5, ""consensus_other_weight"": 3.0}",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.3
s2_ed52d5a0,2,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 5.0, ""consensus_entry_weight"": 1.0, ""consensus_confirm_weight"": 4.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 0.5}",1358,66.38,78.71,4.01,1635987.0,1.62,6.53,54.53,3.945,51.3
s2_1c077349,2,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 5.0, ""consensus_entry_weight"": 1.5, ""consensus_confirm_weight"": 4.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 1.0}",1358,66.38,78.71,4.01,1635987.0,1.62,6.53,54.53,3.945,50.3
s2_62af1737,2,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 4.0, ""consensus_entry_weight"": 3.5, ""consensus_confirm_weight"": 1.0, ""consensus_manage_weight"": 2.5, ""consensus_other_weight"": 1.0}",308,65.22,80.33,3.8,409897.0,1.12,3.36,13.66,3.7574,48.7
s2_79618544,2,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 2.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 5.0, ""consensus_manage_weight"": 1.5, ""consensus_other_weight"": 1.0}",977,70.74,80.75,5.34,1181308.0,1.05,5.88,39.38,5.2839,36.9
s2_bf0d7f69,2,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 3.5, ""consensus_confirm_weight"": 1.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 1.0}",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2
s2_5fca23ed,2,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 1.5, ""consensus_confirm_weight"": 1.0, ""consensus_manage_weight"": 0.5, ""consensus_other_weight"": 1.0}",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8
s2_7d971a45,2,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 1.5, ""consensus_confirm_weight"": 4.0, ""consensus_manage_weight"": 2.5, ""consensus_other_weight"": 0.5}",239,69.08,80.35,6.28,341540.0,0.66,3.66,11.38,6.2386,43.8
s2_f044b0f7,2,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 2.0, ""consensus_entry_weight"": 0.5, ""consensus_confirm_weight"": 2.0, ""consensus_manage_weight"": 2.5, ""consensus_other_weight"": 0.5}",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1
s2_196aa455,2,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 2.0, ""consensus_entry_weight"": 1.0, ""consensus_confirm_weight"": 5.0, ""consensus_manage_weight"": 2.5, ""consensus_other_weight"": 3.0}",977,70.74,80.75,5.34,1181308.0,1.05,5.88,39.38,5.2839,51.1
s2_6ad448ec,2,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 3.0, ""consensus_entry_weight"": 0.5, ""consensus_confirm_weight"": 4.0, ""consensus_manage_weight"": 1.5, ""consensus_other_weight"": 3.0}",994,68.41,80.62,4.54,1084990.0,1.09,6.01,36.17,4.4905,50.5
s2_1b65851a,2,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 2.0, ""consensus_entry_weight"": 1.0, ""consensus_confirm_weight"": 2.0, ""consensus_manage_weight"": 0.5, ""consensus_other_weight"": 3.0}",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.2
s2_b696265a,2,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 5.0, ""consensus_entry_weight"": 3.5, ""consensus_confirm_weight"": 5.0, ""consensus_manage_weight"": 1.5, ""consensus_other_weight"": 3.0}",1405,65.86,78.08,3.91,1738945.0,1.56,6.53,57.96,3.849,34.1
s2_fa02e8cf,2,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 3.0, ""consensus_entry_weight"": 1.0, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 0.5, ""consensus_other_weight"": 2.0}",651,68.63,80.24,4.47,734322.0,1.05,4.79,24.48,4.4231,45.1
s2_744fbc95,2,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 4.0, ""consensus_entry_weight"": 3.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.5, ""consensus_other_weight"": 0.5}",1049,68.6,80.98,4.32,1160202.0,1.15,5.95,38.67,4.2703,47.7
s2_699c71d6,2,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5, ""consensus_primary_weight"": 3.0, ""consensus_entry_weight"": 1.0, ""consensus_confirm_weight"": 2.0, ""consensus_manage_weight"": 2.5, ""consensus_other_weight"": 0.5}",247,73.13,85.42,7.55,440878.0,1.12,3.84,14.7,7.4654,45.2
